predicted_x	predicted_y	predicted_ax	predicted_ay	measured_x	measured_y	actual_x	actual_y	actual_ax	actual_ay
8.09999	-6.48094	1.50784	-2.44243	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
8.1829	-6.61525	1.50784	-2.44243	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
8.26068	-6.74883	1.49436	-2.44054	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
8.34279	-6.88293	1.49436	-2.44054	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
8.43372	-6.99106	1.51752	-2.37238	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
8.5096	-7.10967	1.51752	-2.37238	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
8.56996	-7.23516	1.47675	-2.39043	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
8.64387	-7.35479	1.47675	-2.39043	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
8.72529	-7.50296	1.49651	-2.4655	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
8.80752	-7.63844	1.49651	-2.4655	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
8.87064	-7.76575	1.4463	-2.44405	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
8.94302	-7.88807	1.4463	-2.44405	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
8.99182	-8.02211	1.38428	-2.47489	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
9.06794	-8.15819	1.38428	-2.47489	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
9.10733	-8.27221	1.28779	-2.4169	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
9.17169	-8.39301	1.28779	-2.4169	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
9.20103	-8.52852	1.19569	-2.4556	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
9.26676	-8.66352	1.19569	-2.4556	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
9.2949	-8.78562	1.0969	-2.4217	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
9.34975	-8.90672	1.0969	-2.4217	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
9.42257	-9.08096	1.14415	-2.56141	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
9.47981	-9.20908	1.14415	-2.56141	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
9.53894	-9.34338	1.14914	-2.57766	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
9.59639	-9.47226	1.14914	-2.57766	9.47534	-9.42627	9.55	-9.5	0	-3.00023
9.6097	-9.6213	1.03303	-2.63071	9.54779	-9.64959	9.55	-9.65	0	-3.0002
9.66141	-9.75297	1.03303	-2.63071	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
9.6853	-9.90515	0.959879	-2.68468	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
9.73805	-10.0527	0.959879	-2.68468	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
9.76828	-10.1744	0.900706	-2.61673	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
9.81331	-10.3052	0.900706	-2.61673	9.92627	-10.4745	9.75	-10.3	0	-3.00065
9.81498	-10.4516	0.786705	-2.65789	9.75524	-10.4732	9.75	-10.45	0	-3.00063
9.85829	-10.598	0.786705	-2.65789	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
